label,task,prime,lr,wd,seed,ordering,tau_circ,tau_gen,tau_F,regime,step,saved_test_acc,K,base_acc,acc_I1_keep_fourier,acc_I2_remove_fourier,acc_I3_random_ctrl_mean,acc_I3_random_ctrl_std,frac_logit_energy_in_topK_fourier,top_k_harmonics,acc_I4_remove_emb_fourier,i2_drop,i3_random_drop_mean,i4_drop,specificity_ratio_i2_over_i3
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,between_gen_F_partial,11000,0.9755973815917969,10,0.9755973563802746,0.44636502287747837,0.7371631926792069,0.7324860193187596,0.041039762538858236,0.42154942826424485,"9,26,1,24,11,18,13,17,7,14",0.05541433655312659,0.23843416370106763,0.243111337061515,0.920183019827148,0.9807611877875366
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,post_known_events,15500,0.9944077134132385,1,0.9944077275038129,0.027452974072191154,0.9944077275038129,0.9941026944585664,0.0007608860979713244,0.04555743660236226,1,0.22979156075241486,0.0,0.00030503304524653885,0.764616166751398,0.0
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,post_known_events,15500,0.9944077134132385,3,0.9944077275038129,0.0813421453990849,0.9893238434163701,0.9894255210981189,0.0036716766823117067,0.1290779671879898,"1,26,21",0.14641586171835283,0.005083884087442758,0.004982206405694023,0.84799186578546,1.0204081632652815
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,post_known_events,15500,0.9944077134132385,5,0.9944077275038129,0.22216573462125064,0.9649211997966446,0.9700050838840873,0.007849622395777842,0.21201505423272413,"1,26,21,9,5",0.10218607015760041,0.02948652770716831,0.02440264361972555,0.8922216573462125,1.2083333333333306
mul_GF,mul,53,0.0016,2.4497,42,G<F,,8500.0,14000.0,post_known_events,15500,0.9944077134132385,10,0.9944077275038129,0.559735638027453,0.8596847991865786,0.8449415353329943,0.02172193219030251,0.40982158675719704,"1,26,21,9,5,25,16,13,12,7",0.060498220640569395,0.13472292831723431,0.14946619217081858,0.9339095068632435,0.9013605442176863
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,pre_known_events,1000,0.0034917262382805347,1,0.003491726127220282,0.021557613481099136,0.0024290268711097615,0.0036131774707757703,0.00045442931674801183,0.057749794243339286,45,0.003491726127220282,0.0010626992561105207,-0.00012145134355548816,0.0,-8.749999999999993
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,pre_known_events,1000,0.0034917262382805347,3,0.003491726127220282,0.023986640352208898,0.0022772126916654014,0.004129345680886595,0.0005025943633595521,0.13519618414116272,"45,23,9",0.006983452254440564,0.0012145134355548808,-0.0006376195536663127,-0.003491726127220282,-1.9047619047619038
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,pre_known_events,1000,0.0034917262382805347,5,0.003491726127220282,0.019584029148322454,0.0021253985122210413,0.004281159860330955,0.0009078437156657692,0.19679075349566413,"45,23,9,28,15",0.006679823895551844,0.0013663276149992408,-0.0007894337331106724,-0.003188097768331562,-1.730769230769231
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,pre_known_events,1000,0.0034917262382805347,10,0.003491726127220282,0.020191285866099893,0.0013663276149992408,0.005708213147107941,0.0006042128052871534,0.32842873453727994,"45,23,9,28,15,19,18,47,44,7",0.009867921663883407,0.0021253985122210413,-0.0022164870198876584,-0.006376195536663125,-0.9589041095890406
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,between_gen_F_partial,16500,1.0,1,1.0,0.12767572491270684,1.0,1.0,0.0,0.21659163717090668,2,0.11826324578715652,0.0,0.0,0.8817367542128435,inf
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,between_gen_F_partial,16500,1.0,3,1.0,0.9992409291027782,0.996204645513891,1.0,0.0,0.5495764180682206,"2,23,18",0.09230302110217094,0.003795354486109015,0.0,0.9076969788978291,inf
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,between_gen_F_partial,16500,1.0,5,1.0,1.0,0.6189464095946562,1.0,0.0,0.7894644225458645,"2,23,18,40,8",0.02838925155609534,0.3810535904053438,0.0,0.9716107484439047,inf
p97_GF,add,97,0.0016,2.4497,42,G<F,,2500.0,30500.0,between_gen_F_partial,16500,1.0,10,1.0,1.0,0.0013663276149992408,1.0,0.0,0.9963710418104126,"2,23,18,40,8,45,9,44,4,6",0.009867921663883407,0.9986336723850008,0.0,0.9901320783361166,inf
